filename,cracked
subset_2_11.png,0
subset_9_53.png,0
subset_42_35.png,0
subset_16_40.png,0
subset_42_45.png,0
subset_1_15.png,0
subset_47_51.png,0
subset_44_30.png,0
subset_33_34.png,0
subset_17_51.png,0
subset_26_55.png,0
subset_10_02.png,0
subset_35_53.png,0
subset_11_10.png,0
subset_23_24.png,0
subset_33_11.png,0
subset_11_03.png,0
subset_27_42.png,0
subset_44_22.png,0
subset_27_40.png,0
subset_33_23.png,0
subset_48_22.png,0
subset_31_55.png,0
subset_10_21.png,0
subset_28_03.png,0
subset_9_25.png,0
subset_23_04.png,0
subset_32_15.png,0
subset_23_02.png,0
subset_3_02.png,0
subset_43_52.png,0
subset_1_32.png,0
subset_24_53.png,1
subset_7_24.png,0
subset_40_25.png,0
subset_29_51.png,0
subset_20_11.png,0
subset_45_41.png,0
subset_34_34.png,0
subset_24_52.png,0
subset_37_13.png,0
subset_8_11.png,0
subset_46_34.png,0
subset_24_00.png,0
subset_52_54.png,0
subset_5_30.png,0
subset_51_01.png,0
subset_18_11.png,0
subset_12_23.png,0
subset_48_25.png,0
subset_6_32.png,0
subset_28_32.png,0
subset_42_23.png,0
subset_15_15.png,0
subset_46_01.png,0
subset_43_03.png,0
subset_46_10.png,0
subset_41_44.png,0
subset_47_24.png,0
subset_5_11.png,0
subset_47_21.png,0
subset_41_34.png,0
subset_8_24.png,0
subset_42_21.png,0
subset_4_54.png,1
subset_6_50.png,0
subset_24_24.png,0
subset_6_44.png,0
subset_12_43.png,0
subset_25_33.png,1
subset_39_33.png,0
subset_42_25.png,0
subset_18_00.png,0
subset_1_01.png,0
subset_49_20.png,0
subset_20_50.png,0
subset_52_33.png,0
subset_31_25.png,0
subset_24_41.png,0
subset_10_43.png,0
subset_8_14.png,0
subset_48_50.png,1
subset_15_25.png,0
subset_28_51.png,0
subset_45_50.png,0
subset_20_51.png,1
subset_0_13.png,1
subset_0_24.png,1
subset_3_04.png,0
subset_33_22.png,0
subset_38_23.png,0
subset_49_13.png,0
subset_29_35.png,0
subset_4_03.png,0
subset_6_00.png,1
subset_3_45.png,1
subset_34_12.png,0
subset_3_05.png,0
subset_32_20.png,0
subset_3_44.png,0
subset_31_34.png,0
subset_21_31.png,0
subset_23_42.png,0
subset_18_41.png,0
subset_41_25.png,0
subset_35_10.png,0
subset_25_30.png,0
subset_23_30.png,0
subset_32_50.png,0
subset_46_23.png,0
subset_35_21.png,0
subset_28_12.png,0
